"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000040268_Plekha1"	1.40902362625428e-05	0.999443625431578	5.60150016574086e-06	6.94813088221025e-08	0.0005366133506847	"Pattern2"	0.999985909763737
"ENSMUSG00000042379_Esm1"	1.45325174407931e-05	0.995815779925049	2.25335967117237e-05	1.11892348220565e-07	0.00414704206845025	"Pattern2"	0.999985467482559
"ENSMUSG00000083701_Gm4912"	1.77294213975163e-05	0.886888768156576	8.32512963666724e-09	0.0688571108782034	0.0442363832186936	"Pattern2"	0.999982270578602
"ENSMUSG00000016194_Hsd11b1"	1.83265592884972e-05	0.999584743343964	6.64637546311478e-08	2.8842599922444e-05	0.000368021033070298	"Pattern2"	0.999981673440711
"ENSMUSG00000001029_Icam2"	1.85843249835283e-05	0.000372968709069501	1.74019585116508e-07	0.995413275841776	0.00419499710458549	"Pattern4"	0.999981415675017
"ENSMUSG00000020261_Slc36a1"	1.8633695845469e-05	0.999530380685436	1.53410320497097e-07	2.72906284619387e-06	0.000448103145551454	"Pattern2"	0.999981366304155
"ENSMUSG00000041187_Prkd2"	1.98291960258998e-05	1.52775932526294e-06	2.17943857693507e-06	0.999246766999166	0.000729696606906108	"Pattern4"	0.999980170803974
"ENSMUSG00000036144_Meox2"	2.1986752390628e-05	1.53514626428888e-06	1.58138413236056e-05	0.998171799995176	0.00178886426484497	"Pattern4"	0.999978013247609
"ENSMUSG00000024526_Cidea"	2.53522126660221e-05	0.996664835227504	7.55452417719341e-05	9.31895963868539e-07	0.00323333542209413	"Pattern2"	0.999974647787334
"ENSMUSG00000005994_Tyrp1"	2.63859673896121e-05	0.000314600924929176	0.981557106795854	0.000329645535243256	0.0177722607765839	"Pattern3"	0.99997361403261
"ENSMUSG00000098369_RP23-100J17.7"	3.75931749084494e-05	2.10236219912886e-11	0.999962406804063	3.62034928773847e-21	4.72281745950834e-15	"Pattern3"	0.999962406825091
