EnsemblID	GeneSymbol
ENSMUSG00000022056	Adam7
ENSMUSG00000025431	Crisp1
ENSMUSG00000046834	Krt1
ENSMUSG00000061527	Krt5
ENSMUSG00000004651	Tyr
ENSMUSG00000074037	Mc1r
ENSMUSG00000058019	Ces5a
ENSMUSG00000026937	Lcn5
ENSMUSG00000091921	B930041F14Rik
ENSMUSG00000024589	Nedd4l
ENSMUSG00000054146	Krt15
ENSMUSG00000005994	Tyrp1
ENSMUSG00000098369	RP23-100J17.7
ENSMUSG00000031351	Zfp185
ENSMUSG00000026222	Sp100
ENSMUSG00000009470	Tnpo1
ENSMUSG00000077450	Rab11b
ENSMUSG00000050074	Spink8
ENSMUSG00000027468	Defb22
ENSMUSG00000046718	Bst2
ENSMUSG00000040451	Sgms1
ENSMUSG00000036814	Slc6a20a
ENSMUSG00000021081	Serpina1f
ENSMUSG00000060519	Tor3a
ENSMUSG00000021240	Abcd4
ENSMUSG00000017291	Taok1
ENSMUSG00000097554	Gm26825
ENSMUSG00000017314	Mpp2
ENSMUSG00000024948	Map4k2
ENSMUSG00000006740	Kif5b
ENSMUSG00000050105	Grrp1
ENSMUSG00000027198	Ext2
ENSMUSG00000027236	Eif3j1
ENSMUSG00000036570	Fxyd1
ENSMUSG00000028556	Dock7
ENSMUSG00000013236	Ptprs
ENSMUSG00000030727	Rabep2
ENSMUSG00000071179	Gm46
ENSMUSG00000002688	Prkd1
ENSMUSG00000025498	Irf7
